genome,D300420,D300421,D300428,D300451,D300454,D300459,D300462,D300466,D300468,D300476,D300480,D300483,D300487,D300498,D300509,D300510,D300516,D300517,D300525,D300529,classification
D300462:bin_000001,257.0527147377554,69.78503895816677,207.2325134822477,178.39241208894032,113.07677012980386,345.8799931100186,190.2767794865688,178.31442132661917,236.21870800088467,107.67695981694766,68.91571043364353,95.99790961365068,249.6786801857744,152.30091356050426,84.34373989894695,56.67371259420562,201.4381241387524,76.64450460182712,77.86481813851415,40.01845834538371,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes excrementavium
GPB:bin_000009,0.0,0.0,0.0,1.7833186512122452,1.0842630151795103,2.4732859619108383,0.0,0.0,5.4280238081631325,1.628501752775762,0.0,0.0,1.685755335401254,2.097482275854279,0.0,0.0,0.0,0.0,1.956742247257113,0.0,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae
GPB:bin_000051,0.0,0.0,0.0,1.146347739512698,0.0,2.6928259523647107,0.0,0.0,0.0,2.072084577118724,0.0,0.0,1.4646193606547326,0.0,0.0,1.412712817904638,3.7222463519706137,0.0,0.0,0.0,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
GPB:bin_000010,56.6229279025751,6.041250030725752,2.667530979436121,103.13254553556403,7.670313629565295,8.161011762763161,30.18315069106155,6.517924615707509,12.790295326471352,8.262989744847054,4.3021409703791145,14.014755924082497,5.817314449548946,8.184804524343305,1.4991645746894178,5.2509206695755815,11.218302841832656,10.78820534508328,16.3868469832354,0.9521831670781292,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
GPB:bin_000002,4.800186329441153,0.0,0.0,0.0,0.0,10.028584153289538,11.777114422119066,0.0,0.7535011522314681,0.7756513792942458,0.0,0.0,8.274939267198622,0.6069476960878686,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus;Proteus mirabilis
GPB:bin_000200,0.7484767879303577,6.791002382037923,0.0,0.928555929128886,0.0,0.0,0.0,1.261724283377179,2.6445009545218494,0.0,0.0,0.0,0.0,1.750688157833784,0.0,1.3083166525662375,1.347375247773392,0.0,1.4036225506091629,0.0,Bacteria;Actinomycetota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium globosum
GPB:bin_000087,1.0608004281526098,2.6768823759318354,1.7041267372244309,2.749901304858108,1.5309916814697655,1.9914330084389624,0.0,1.9754785835059383,3.653732139555916,2.159123300129183,12.130934335582616,1.4737583475830454,1.0653588352763308,3.013444768566575,4.274308620482499,2.292372293551289,7.159653707377838,1.794788390018439,5.051854694863885,0.0,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Rubneribacter;Rubneribacter badeniensis
GPB:bin_000111,7.404310083049352,37.19844601792092,2.3159827828040123,21.307003041447555,5.144866412489697,7.53676488308984,6.330211551716658,17.792853803255458,61.13748210558787,20.720403726857764,4.212718167226595,16.251018234225203,0.0,4.875618773106084,46.00722042541705,12.197024105038391,35.76886926595555,7.62641769534432,16.95161158160093,2.010970419392,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum intestinigallinarum
D300506:bin_000004,101.76668064645123,19.73546996459538,0.0,66.04605526241356,56.10689658535633,98.44918023193438,82.75522047420729,13.44409874279472,9.292336802270576,69.3479893493548,0.0,37.71095007266237,77.44212856850257,38.67149782012893,12.818461118317744,10.193428200801725,112.5543797364648,0.0,8.903529733051137,9.682021671917212,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum stercoravium
GPB:bin_000112,338.34353831033866,11.14096956355552,0.0,24.15436391159416,9.616046276282562,36.943471405951904,110.09659882120307,13.758701920189576,27.02471364978584,94.83818904642726,10.797677654439964,22.85844221666806,71.44403464883897,18.29785866672804,9.941447435996018,20.39259179848758,31.520343255426017,7.859595643805983,60.72444485355404,8.30261269488288,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor avicola
GPB:bin_000140,14.078015547051418,2.1597396618587896,2.4448518192853057,3.447001462480702,2.801468056362394,11.87378362066822,11.615155851015336,1.366488923648863,2.968511833586122,14.23726093413412,2.112836300865659,1.7585934868749704,7.970444478099333,4.376705191467432,3.4431964508659982,1.399980560534721,5.354555503063977,2.82403441237435,4.065259339796579,1.1516752976385571,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii
