genome,D300418,D300421,D300426,D300427,D300440,D300447,D300461,D300466,D300467,D300469,D300483,D300485,D300488,D300489,D300490,D300491,D300493,D300496,D300505,D300508,D300510,D300511,D300516,D300520,D300524,classification
GPB:bin_000056,3.2969882449355903,0.0,0.0,8.306015827080184,0.0,0.0,0.0,0.0,10.495471269666467,0.0,0.0,0.0,0.0,0.0,5.865474086784302,0.0,0.0,5.190592960620107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia sp905200945
D300462:bin_000001,0.0,69.78503895816677,0.0,0.0,0.0,0.0,0.0,178.31442132661917,0.0,0.0,95.99790961365068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.67371259420562,0.0,201.4381241387524,0.0,0.0,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes excrementavium
GPB:bin_000051,0.0,0.0,0.0,0.0,0.6373527641610202,0.0,0.6981316666824974,0.0,0.0,0.0,0.0,0.8623350842032276,1.4695412536665944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.412712817904638,0.6933716780460257,3.7222463519706137,0.0,0.0,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
GPB:bin_000010,4.233567395281911,6.041250030725752,27.957692373143608,0.7404748594021116,11.489099133565317,19.551378814168764,11.654072785051463,6.517924615707509,4.512399652846276,6.477051487536059,14.014755924082497,6.290112862776587,1.1647423417245624,7.291425718998346,1.9644942667322989,1.4257063929101983,1.8588607080347683,1.8252987330905943,1.690262993526478,1.6963136030938784,5.2509206695755815,3.228252312940048,11.218302841832656,2.7459367950803504,5.579229265790042,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
GPB:bin_000087,5.443877707503898,2.6768823759318354,12.591882152232229,0.0,2.664051304028028,4.056771302744921,4.667851102163752,1.9754785835059383,2.663587021820982,2.6835933641973138,1.4737583475830454,5.872747844393989,8.054114482987996,11.334352690712358,12.2094402360467,3.809688753649891,4.926160839174613,1.7979117430476552,0.7136017522291876,6.947139078971026,2.292372293551289,3.808886811655903,7.159653707377838,3.0449315436989446,2.770414136914853,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Rubneribacter;Rubneribacter badeniensis
GPB:bin_000078,4.52811171476097,0.0,0.0,1.788958258491912,0.0,0.0,0.0,0.0,2.111975251679995,0.0,0.0,0.0,4.07310424906317,2.3291785348844734,3.1324859156248457,1.449043420225997,0.0,1.7412867560053324,0.0,1.480625790623356,0.0,2.923540017672507,0.0,0.0,0.0,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Gordonibacter;Gordonibacter urolithinfaciens
GPB:bin_000074,54.46607429857555,0.0,14.0368722389933,54.900050858811305,12.563483692844716,9.807367262095337,16.292224989161564,0.0,37.35791269689825,6.241382146082154,0.0,10.609970402886416,18.018829736356544,24.1406896838051,25.42241955405525,12.148150040679065,0.0,44.4850924600415,4.453379556035312,0.0,0.0,0.0,15.143550392139796,9.492713297623048,5.476863232911798,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum sp900557315
GPB:bin_000111,0.0,37.19844601792092,0.0,4.918131558271917,0.0,0.0,0.0,17.792853803255458,6.459533323371909,30.887032636515684,16.251018234225203,0.0,34.768324601020886,32.898629661584735,5.042103081453917,21.668795519287404,0.0,3.1070001494213537,13.437799746465702,40.94805438937277,12.197024105038391,44.66344045077048,35.76886926595555,75.26985014484231,3.248227428940506,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum intestinigallinarum
GPB:bin_000192,0.0,0.0,0.0,2.267038157636969,0.0,0.0,0.0,0.0,0.0,1.625602798846742,0.0,0.0,2.4708074190018423,1.4011053703267629,1.4644771653761444,0.0,1.2275626247895026,0.0,0.8872051306913412,0.0,0.0,0.0,0.0,2.7599628772872715,1.4667033408462633,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum sp900291975
D300506:bin_000004,57.31211657189673,19.73546996459538,117.36572091798418,10.089672190307132,100.80636697909858,64.00780267046396,92.12930975626408,13.44409874279472,68.5280067102966,27.00740278360269,37.71095007266237,73.77625842444576,72.28487549863941,111.20432267943704,40.16311482604921,23.1854597235904,0.0,19.904358766787933,22.161359225194825,2.63890216426572,10.193428200801725,22.847974719347697,112.5543797364648,17.199387490368576,30.551843868564013,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum stercoravium
GPB:bin_000173,12.720542768981227,0.0,0.0,4.242841406914333,0.0,0.0,0.0,0.0,11.166731896856946,0.0,0.0,0.0,0.0,0.0,13.377972302723226,0.0,0.0,9.546194574932844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Pseudobutyricicoccus;Pseudobutyricicoccus lothianensis
GPB:bin_000112,0.0,11.14096956355552,20.13904830754914,0.0,20.48200344961712,15.39248515558918,7.2336298941372785,13.758701920189576,0.0,0.0,22.85844221666806,23.362372007473983,10.170449028342876,22.00233828586695,0.0,11.310152909077948,11.614674511842132,0.0,0.0,9.295444046996964,20.39259179848758,5.221320497270222,31.520343255426017,0.0,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor avicola
GPB:bin_000140,5.05328146462055,2.1597396618587896,34.61807101733955,2.281349340000016,31.77964537291751,32.18000040687253,39.76983070335452,1.366488923648863,5.459438199453435,17.244086597543546,1.7585934868749704,62.35370483809111,12.38557651953704,5.601655217725779,5.956877539656886,3.0325942569189053,7.1103988330293095,1.3274969729437305,3.759803555915211,1.94270330629138,1.399980560534721,2.8390660919215462,5.354555503063977,12.736051995295348,12.753457097928944,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii
GPB:bin_000197,36.86695094911129,30.804381666408467,0.0,11.9725931420936,0.0,0.0,0.0,7.862865483197837,22.937540822735784,0.0,10.261417295516493,0.0,82.0452603222644,59.17519220867896,35.520062680592794,30.43929901625489,0.0,16.409962783398026,0.0,30.946121337157063,3.6832076195854686,20.97194190576854,38.26302526859583,0.0,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor avistercoris
GPB:bin_000126,6.169508840933137,6.291237217791953,0.0,0.0,0.0,0.0,0.0,0.0,4.152139636653543,7.431681314380907,4.188854838291391,0.0,0.0,7.425562114107932,4.063848318429195,3.2727668488537134,5.799515767285065,4.147462819302056,0.0,2.8112917311246712,3.908376922922262,3.186748376445042,4.708593484333828,5.703575448719499,5.44018758554132,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;Intestinimonas stercoravium
GPB:bin_000181,15.077273953816754,0.0,29.14068997637979,7.092311047532446,14.728589329873472,10.191992784560735,15.190347871408454,0.0,18.606961863889907,0.0,0.0,9.156917321859602,0.0,0.0,5.9436441664726045,0.0,0.0,9.47444100676078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;Intestinimonas pullistercoris
